TIME in ms	LEFT_CANARD	RIGHT_CANARD	LEFT_SLAT	RIGHT_SLAT	AIRBRAKE	RUDDER	LEFT_OB_FLAP	LEFT_IB_FLAP	RIGHT_IB_FLAP	RIGHT_OB_FLAP	LEFT_NOZZLE	RIGHT_NOZZLE	
10700	58	125	180	180	160	89	110	66	106	118	75	74
10800	58	125	180	180	160	89	110	66	106	118	75	74
10900	58	125	180	180	160	89	110	66	106	118	75	74
11000	58	125	180	180	160	89	110	66	106	118	75	74
11100	58	125	180	180	160	89	110	66	106	118	75	74
11200	58	125	180	180	160	89	110	66	106	118	75	74
11300	58	125	180	180	160	89	110	66	106	118	75	74
11400	58	125	180	180	160	89	110	66	106	118	75	74
11500	58	125	180	180	160	89	110	66	106	118	75	74
11600	58	125	180	180	160	89	110	66	106	118	75	74
11700	58	125	180	180	160	89	110	66	106	118	75	74
11800	58	125	180	180	160	89	110	66	106	118	75	74
11900	58	125	180	180	160	89	110	66	106	118	75	74
12000	58	125	180	180	160	89	110	66	106	118	75	74
12100	58	125	180	180	160	89	110	66	106	118	75	74
12200	58	125	180	180	160	89	110	66	106	118	75	74
12300	58	125	180	180	160	89	110	66	106	118	75	74
12400	58	125	180	180	160	89	110	66	106	118	75	74
12500	58	125	180	180	160	89	110	66	106	118	75	74
12600	58	125	180	180	160	89	110	66	106	118	75	74
12700	58	125	180	180	160	89	110	66	106	118	75	74
12800	58	125	180	180	160	89	110	66	106	118	75	74
12900	58	125	180	180	160	89	110	66	106	118	75	74
13000	58	125	180	180	160	89	110	66	106	118	75	74
13100	58	125	180	180	160	89	110	66	106	118	75	74
13200	58	125	180	180	160	89	110	66	106	118	75	74
13300	58	125	180	180	160	89	110	66	106	118	75	74
13400	58	125	180	180	160	89	110	66	106	118	75	74
13500	58	125	180	180	160	89	110	66	106	118	75	74
13600	58	125	180	180	160	89	110	66	106	118	75	74
13700	58	125	180	180	160	89	110	66	106	118	75	74
13800	58	125	180	180	160	89	110	66	106	118	75	74
13900	58	125	180	180	160	89	110	66	106	118	75	74
14000	58	125	180	180	160	89	110	66	106	118	75	74
14100	57	125	180	180	160	89	110	66	106	118	74	74
14200	55	127	180	180	160	89	110	66	106	118	74	74
14300	54	128	180	180	160	89	110	66	106	118	74	74
14400	53	130	180	180	160	89	110	66	106	118	74	74
14500	52	131	180	180	160	89	110	66	106	118	74	74
14600	50	133	180	180	160	89	110	66	106	118	74	74
14700	50	134	180	180	160	89	110	66	106	118	74	74
14800	48	135	180	180	160	89	110	66	106	118	74	74
14900	47	137	180	180	160	89	110	66	106	118	74	74
15000	46	138	180	180	160	89	110	66	106	118	74	74
15100	45	140	180	180	160	89	110	66	106	118	74	74
15200	43	141	180	180	160	89	110	66	106	118	74	74
15300	42	142	180	180	160	89	110	66	106	118	74	74
15400	41	144	180	180	160	89	110	66	106	118	74	74
15500	40	145	180	180	160	89	110	66	106	118	74	74
15600	38	147	180	180	160	89	110	66	106	118	74	74
15700	38	148	180	180	160	89	110	66	106	118	74	74
15800	36	150	180	180	160	89	110	66	106	118	74	74
15900	35	150	180	180	160	89	110	66	106	118	74	74
16000	34	152	180	180	160	89	110	66	106	118	74	74
16100	35	151	180	180	160	89	111	67	107	119	74	74
16200	35	150	180	180	160	90	111	67	108	120	74	74
16300	37	149	180	180	160	91	112	68	109	120	74	74
16400	38	147	180	180	160	91	113	69	110	121	74	74
16500	39	146	180	180	160	92	113	69	111	122	74	74
16600	40	145	180	180	160	93	115	70	113	123	74	74
16700	41	144	180	180	160	94	116	71	113	124	74	74
16800	42	142	180	180	160	94	116	72	115	125	74	74
16900	43	142	180	180	160	95	117	72	116	125	74	74
17000	44	140	180	180	160	96	118	73	117	126	74	74
17100	45	139	180	180	160	96	119	74	118	128	74	74
17200	46	138	180	180	160	97	120	75	119	128	74	74
17300	47	137	180	180	160	98	120	76	120	129	74	74
17400	48	135	180	180	160	98	121	77	121	130	74	74
17500	49	135	180	180	160	99	122	77	122	130	74	74
17600	50	133	180	180	160	99	123	78	123	132	74	74
17700	51	132	180	180	160	100	124	79	124	133	74	74
17800	52	131	180	180	160	101	125	79	125	133	74	74
17900	53	130	180	180	160	101	125	80	126	134	74	74
18000	55	128	180	180	160	102	126	81	128	135	74	74
18100	55	128	180	180	160	103	128	81	128	136	74	74
18200	56	126	180	180	160	103	128	82	130	137	74	74
18300	57	125	180	180	160	104	129	84	130	137	74	74
18400	58	124	180	180	160	105	130	84	132	138	74	74
18500	60	123	180	180	160	106	130	85	133	139	74	74
18600	60	122	180	180	160	106	132	86	134	140	74	74
18700	62	120	180	180	160	107	133	86	135	141	74	74
18800	62	119	180	180	160	107	133	87	136	142	74	74
18900	64	118	180	180	160	108	134	88	137	142	74	74
19000	64	117	180	180	160	108	135	89	138	143	74	74
19100	66	116	180	180	160	109	136	89	139	145	74	74
19200	67	115	180	180	160	110	137	90	140	145	74	74
19300	67	113	180	180	160	111	137	91	141	146	74	74
19400	69	112	180	180	160	111	138	92	142	147	74	74
19500	69	111	180	180	160	112	139	93	143	147	74	74
19600	71	110	180	180	160	113	140	94	145	149	74	74
19700	72	108	180	180	160	113	141	94	145	150	74	74
19800	73	108	180	180	160	114	142	95	147	150	74	74
19900	74	106	180	180	160	115	142	96	147	151	74	74
20000	75	105	180	180	160	116	143	96	149	152	74	74
20100	76	104	180	180	160	116	145	97	150	153	74	74
20200	77	103	180	180	160	116	145	98	151	154	74	74
20300	78	101	180	180	160	117	146	99	152	154	74	74
20400	79	101	180	180	160	118	147	99	153	155	74	74
20500	80	99	180	180	160	118	147	101	154	156	74	74
20600	81	98	180	180	160	119	149	101	155	157	74	74
20700	82	97	180	180	160	120	150	102	156	158	74	74
20800	83	96	180	180	160	120	150	103	157	159	74	74
20900	84	94	180	180	160	121	151	103	158	159	74	74
21000	85	94	180	180	160	122	152	104	159	160	74	74
21100	86	92	180	180	160	123	153	105	160	162	74	74
21200	87	91	180	180	160	123	154	106	162	162	74	74
21300	89	90	180	180	160	124	154	106	162	163	74	74
21400	89	89	180	180	160	125	155	107	164	164	74	74
21500	91	88	180	180	160	125	157	108	165	165	75	74
21600	89	89	180	180	160	123	154	106	162	162	75	74
21700	87	91	180	180	160	121	152	104	159	160	75	74
21800	86	93	180	180	160	120	150	102	156	158	75	74
21900	84	95	180	180	160	118	147	100	153	155	75	74
22000	82	97	180	180	160	116	145	98	150	153	75	74
22100	81	99	180	180	160	114	142	96	147	151	75	74
22200	79	101	180	180	160	113	140	94	144	148	75	74
22300	77	102	180	180	160	111	137	91	141	146	75	74
22400	76	104	180	180	160	109	135	89	138	144	75	74
22500	74	106	180	180	160	107	133	87	135	142	75	74
22600	72	108	180	180	160	105	130	85	133	139	75	74
22700	71	110	180	180	160	103	128	83	130	137	75	74
22800	69	111	180	180	160	101	126	81	127	135	75	74
22900	67	113	180	180	160	100	123	79	123	132	75	74
23000	66	116	180	180	160	98	121	77	120	130	75	74
23100	64	117	180	180	160	96	119	74	118	128	75	74
23200	62	119	180	180	160	94	116	72	115	125	75	74
23300	61	120	180	180	160	93	114	70	112	123	75	74
23400	60	123	180	180	160	91	112	68	109	120	75	74
23500	58	125	180	180	160	89	110	66	106	118	75	74
23600	59	123	180	180	160	88	108	64	104	116	75	74
23700	60	122	180	180	160	86	106	62	102	113	75	74
23800	61	120	180	180	160	85	104	60	100	111	75	74
23900	62	119	180	180	160	84	102	59	98	109	75	74
24000	64	118	180	180	160	82	101	57	96	107	75	74
24100	64	116	180	180	160	81	99	55	94	104	75	74
24200	66	116	180	180	160	80	97	54	92	102	75	74
24300	67	114	180	180	160	79	95	52	90	100	75	74
24400	68	113	180	180	160	77	93	50	88	98	75	74
24500	69	111	180	180	160	76	91	48	86	96	75	74
24600	71	110	180	180	160	74	89	47	84	94	75	74
24700	72	108	180	180	160	74	88	45	81	91	75	74
24800	73	107	180	180	160	72	86	43	79	89	75	74
24900	74	106	180	180	160	71	84	42	78	86	75	74
25000	75	105	180	180	160	69	82	40	76	84	75	74
25100	77	103	180	180	160	68	80	38	74	82	75	74
25200	77	102	180	180	160	67	79	36	72	79	75	74
25300	79	101	180	180	160	66	77	35	69	77	75	74
25400	80	99	180	180	160	64	75	33	67	75	75	74
25500	81	98	180	180	160	63	73	31	65	73	75	74
25600	82	97	180	180	160	62	72	30	64	71	75	74
25700	84	96	180	180	160	60	69	28	62	69	75	74
25800	84	94	180	180	160	60	67	26	60	66	75	74
25900	86	93	180	180	160	58	66	24	57	64	75	74
26000	87	91	180	180	160	57	64	23	55	62	75	74
26100	88	90	180	180	160	55	62	21	53	60	75	74
26200	89	89	180	180	160	54	60	19	51	57	75	74
26300	91	88	180	180	160	53	59	18	50	55	75	74
26400	89	89	180	180	160	54	60	18	50	57	74	74
26500	88	91	180	180	160	55	61	20	52	58	74	74
26600	86	92	180	180	160	55	62	21	53	60	74	74
26700	85	94	180	180	160	56	64	22	55	61	74	74
26800	84	96	180	180	160	57	64	23	56	62	74	74
26900	82	97	180	180	160	58	66	24	57	64	74	74
27000	81	99	180	180	160	59	67	26	59	66	74	74
27100	79	100	180	180	160	60	69	27	60	67	74	74
27200	78	101	180	180	160	61	69	28	62	69	74	74
27300	77	103	180	180	160	62	71	29	63	70	74	74
27400	75	105	180	180	160	62	72	30	64	72	74	74
27500	74	106	180	180	160	63	74	31	66	74	74	74
27600	72	108	180	180	160	64	74	33	67	75	74	74
27700	71	110	180	180	160	65	76	34	69	77	74	74
27800	69	111	180	180	160	66	77	35	70	78	74	74
27900	68	113	180	180	160	67	79	36	72	79	74	74
28000	67	114	180	180	160	68	79	38	73	81	74	74
28100	65	116	180	180	160	69	81	38	74	83	74	74
28200	64	118	180	180	160	69	82	40	76	84	74	74
28300	62	119	180	180	160	70	84	41	77	86	74	74
28400	62	120	180	180	160	72	84	42	78	87	74	74
28500	60	122	180	180	160	72	86	43	79	89	74	74
28600	59	124	180	180	160	73	87	45	81	90	74	74
28700	57	125	180	180	160	74	89	45	82	92	74	74
28800	56	127	180	180	160	75	89	47	84	94	74	74
28900	55	128	180	180	160	76	91	48	85	95	74	74
29000	53	130	180	180	160	77	92	49	86	96	74	74
29100	52	132	180	180	160	77	94	50	88	98	74	74
29200	50	133	180	180	160	79	94	52	89	99	74	74
29300	49	135	180	180	160	79	96	52	91	101	74	74
29400	47	136	180	180	160	80	97	54	92	103	74	74
29500	46	138	180	180	160	81	99	55	94	104	74	74
29600	45	140	180	180	160	82	99	56	95	106	74	74
29700	43	141	180	180	160	83	101	57	96	107	74	74
29800	42	142	180	180	160	84	102	59	98	108	74	74
29900	40	144	180	180	160	84	103	60	99	111	74	74
30000	39	146	180	180	160	86	104	61	101	112	74	74
30100	38	147	180	180	160	86	106	62	102	113	74	74
30200	36	149	180	180	160	87	107	63	103	115	74	74
30300	35	150	180	180	160	88	108	64	105	116	74	74
30400	34	152	180	180	160	89	110	66	106	118	74	74
30500	34	152	180	180	160	89	109	65	106	118	74	74
30600	35	151	180	180	160	88	108	64	105	117	74	74
30700	35	150	180	180	160	88	108	64	104	116	74	74
30800	36	150	180	180	160	87	107	64	103	116	74	74
30900	37	149	180	180	160	87	107	63	103	115	74	74
31000	38	148	180	180	160	86	106	62	102	114	74	74
31100	38	147	180	180	160	86	106	62	101	113	74	74
31200	38	147	180	180	160	86	105	62	101	113	74	74
31300	39	146	180	180	160	85	104	61	101	112	74	74
31400	40	145	180	180	160	85	104	60	100	111	74	74
31500	40	145	180	180	160	84	103	60	99	111	74	74
31600	41	144	180	180	160	84	103	60	99	110	74	74
31700	42	143	180	180	160	84	102	59	98	109	74	74
31800	43	142	180	180	160	84	101	58	97	108	74	74
31900	43	142	180	180	160	83	101	57	96	108	74	74
32000	43	141	180	180	160	83	101	57	96	107	74	74
32100	44	140	180	180	160	82	100	57	96	106	74	74
32200	45	140	180	180	160	81	99	56	95	106	74	74
32300	45	139	180	180	160	81	99	55	94	105	74	74
32400	46	138	180	180	160	81	99	55	94	104	74	74
32500	47	137	180	180	160	81	98	55	93	103	74	74
32600	47	137	180	180	160	80	97	54	92	103	74	74
32700	48	136	180	180	160	80	96	53	91	102	74	74
32800	48	135	180	180	160	79	96	53	91	101	74	74
32900	49	135	180	180	160	79	96	52	91	101	74	74
33000	50	134	180	180	160	79	95	52	90	100	74	74
33100	50	133	180	180	160	78	94	51	89	99	74	74
33200	51	133	180	180	160	78	94	51	89	99	74	74
33300	52	132	180	180	160	77	94	50	88	98	74	74
33400	52	131	180	180	160	77	93	50	87	97	74	74
33500	53	130	180	180	160	77	92	49	86	96	74	74
33600	53	130	180	180	160	77	91	49	86	96	74	74
33700	54	129	180	180	160	76	91	48	86	95	74	74
33800	55	128	180	180	160	76	91	47	85	94	74	74
33900	55	128	180	180	160	75	90	47	84	94	74	74
34000	56	127	180	180	160	74	89	47	84	93	74	74
34100	57	126	180	180	160	74	89	46	83	93	74	74
34200	57	125	180	180	160	74	89	45	82	92	74	74
34300	58	125	180	180	160	74	88	45	81	91	74	74
34400	58	124	180	180	160	73	87	45	81	91	74	74
34500	59	123	180	180	160	73	86	44	81	90	74	74
34600	60	123	180	180	160	72	86	43	80	89	74	74
34700	60	122	180	180	160	72	86	43	79	89	74	74
34800	61	121	180	180	160	72	85	43	79	88	74	74
34900	62	120	180	180	160	71	84	42	78	87	74	74
35000	62	120	180	180	160	71	84	41	77	86	74	74
35100	63	119	180	180	160	70	84	41	77	86	74	74
35200	63	118	180	180	160	70	83	40	77	85	74	74
35300	64	118	180	180	160	69	82	40	76	84	74	74
35400	64	117	180	180	160	69	81	39	75	84	74	74
35500	65	116	180	180	160	69	81	39	74	83	74	74
35600	66	116	180	180	160	69	81	38	74	82	74	74
35700	67	115	180	180	160	68	80	38	73	81	74	74
35800	67	114	180	180	160	67	79	37	72	81	74	74
35900	68	113	180	180	160	67	79	37	72	80	74	74
36000	68	113	180	180	160	67	78	36	72	79	74	74
36100	69	112	180	180	160	67	78	35	71	79	74	74
36200	69	111	180	180	160	66	77	35	70	78	74	74
36300	70	111	180	180	160	66	77	35	69	77	74	74
36400	71	110	180	180	160	65	76	34	69	77	74	74
36500	72	109	180	180	160	65	76	33	68	76	74	74
36600	72	108	180	180	160	64	75	33	67	75	74	74
36700	73	108	180	180	160	64	74	33	67	74	74	74
36800	73	107	180	180	160	64	74	32	67	74	74	74
36900	74	106	180	180	160	63	73	31	66	73	74	74
37000	74	106	180	180	160	63	73	30	65	72	74	74
37100	75	105	180	180	160	62	72	30	64	72	74	74
37200	76	104	180	180	160	62	72	30	64	71	74	74
37300	77	103	180	180	160	62	71	29	63	70	74	74
37400	77	103	180	180	160	61	70	28	62	69	74	74
37500	78	102	180	180	160	61	70	28	62	69	74	74
37600	78	101	180	180	160	60	69	28	62	68	74	74
37700	79	101	180	180	160	60	69	27	61	67	74	74
37800	79	100	180	180	160	60	68	27	60	67	74	74
37900	80	99	180	180	160	60	67	26	60	67	74	74
38000	81	99	180	180	160	59	67	26	59	66	74	74
38100	81	98	180	180	160	59	67	25	58	65	74	74
38200	82	97	180	180	160	58	66	25	57	64	74	74
38300	83	96	180	180	160	57	65	24	57	64	74	74
38400	83	96	180	180	160	57	65	23	57	63	74	74
38500	84	95	180	180	160	57	64	23	56	62	74	74
38600	84	94	180	180	160	57	64	23	55	62	74	74
38700	85	94	180	180	160	56	63	22	55	61	74	74
38800	86	93	180	180	160	56	62	21	54	60	74	74
38900	86	92	180	180	160	55	62	21	53	60	74	74
39000	87	91	180	180	160	55	62	21	52	59	74	74
39100	88	91	180	180	160	55	61	20	52	58	74	74
39200	88	90	180	180	160	54	60	19	52	57	74	74
39300	89	89	180	180	160	54	60	18	51	57	74	74
39400	89	89	180	180	160	53	60	18	50	56	74	74
39500	90	88	180	180	160	53	59	18	50	55	74	74
39600	90	88	180	180	160	53	59	18	50	55	74	74
39700	90	88	180	180	160	53	59	18	50	56	74	74
39800	90	88	180	180	160	54	60	18	50	56	74	74
39900	90	88	180	180	160	54	60	19	51	57	74	74
40000	90	89	180	180	160	55	60	19	52	57	74	74
40100	89	89	180	180	160	55	61	20	52	57	74	74
40200	89	89	180	180	160	55	62	20	52	58	74	74
40300	89	89	180	180	160	55	62	21	53	59	74	74
40400	89	89	180	180	160	56	62	21	54	60	74	74
40500	89	89	180	180	160	56	63	21	55	60	74	74
40600	89	89	180	180	160	56	63	22	55	60	74	74
40700	89	89	180	180	160	57	64	22	55	61	74	74
40800	89	90	180	180	160	57	64	23	56	61	74	74
40900	89	90	180	180	160	57	64	23	57	62	74	74
41000	88	90	180	180	160	57	65	23	57	62	74	74
41100	88	90	180	180	160	58	65	24	57	63	74	74
41200	88	90	180	180	160	58	66	24	58	63	74	74
41300	88	91	180	180	160	59	67	25	59	64	74	74
41400	88	91	180	180	160	59	67	25	59	64	74	74
41500	87	91	180	180	160	60	67	26	60	64	74	74
41600	87	91	180	180	160	60	68	26	60	65	74	74
41700	87	91	180	180	160	60	68	26	61	66	74	74
41800	87	91	180	180	160	60	69	27	61	67	74	74
41900	86	91	180	180	160	61	69	27	62	67	74	74
42000	86	91	180	180	160	61	69	28	62	67	74	74
42100	86	92	180	180	160	62	70	28	63	68	74	74
42200	86	92	180	180	160	62	70	28	64	69	74	74
42300	86	92	180	180	160	62	71	29	64	69	74	74
42400	86	92	180	180	160	62	72	29	64	69	74	74
42500	86	93	180	180	160	62	72	30	65	70	74	74
42600	86	93	180	180	160	63	72	30	66	70	74	74
42700	86	93	180	180	160	63	73	30	66	71	74	74
42800	86	93	180	180	160	64	73	31	67	72	74	74
42900	85	94	180	180	160	64	74	31	67	72	74	74
43000	85	94	180	180	160	64	74	32	68	72	74	74
43100	85	94	180	180	160	64	74	33	68	73	74	74
43200	85	94	180	180	160	65	75	33	69	74	74	74
43300	85	94	180	180	160	65	75	33	69	74	74	74
43400	84	94	180	180	160	66	76	33	70	74	74	74
43500	84	94	180	180	160	66	77	34	70	75	74	74
43600	84	94	180	180	160	67	77	35	71	76	74	74
43700	84	94	180	180	160	67	77	35	72	76	74	74
43800	84	95	180	180	160	67	78	35	72	77	74	74
43900	84	95	180	180	160	67	78	35	72	77	74	74
44000	84	95	180	180	160	68	79	36	73	77	74	74
44100	84	95	180	180	160	68	79	36	74	78	74	74
44200	84	96	180	180	160	68	79	37	74	79	74	74
44300	83	96	180	180	160	69	80	38	74	79	74	74
44400	83	96	180	180	160	69	80	38	75	79	74	74
44500	83	96	180	180	160	69	81	38	76	80	74	74
44600	83	96	180	180	160	69	81	38	77	81	74	74
44700	83	96	180	180	160	70	81	39	77	81	74	74
44800	82	96	180	180	160	70	82	40	77	81	74	74
44900	82	96	180	180	160	71	83	40	78	82	74	74
45000	82	97	180	180	160	71	83	40	79	83	74	74
45100	82	97	180	180	160	72	84	40	79	83	74	74
45200	81	97	180	180	160	72	84	41	79	84	74	74
45300	81	97	180	180	160	72	84	42	80	84	74	74
45400	81	98	180	180	160	72	85	42	81	84	74	74
45500	81	98	180	180	160	73	86	43	81	85	74	74
45600	81	98	180	180	160	73	86	43	81	86	74	74
45700	81	98	180	180	160	74	86	43	82	86	74	74
45800	81	99	180	180	160	74	86	44	83	86	74	74
45900	81	99	180	180	160	74	87	44	83	87	74	74
46000	81	99	180	180	160	74	88	45	84	88	74	74
46100	81	99	180	180	160	74	88	45	84	89	74	74
46200	80	99	180	180	160	75	89	45	85	89	74	74
46300	80	99	180	180	160	75	89	46	85	89	74	74
46400	80	99	180	180	160	76	89	46	86	90	74	74
46500	80	99	180	180	160	76	90	47	86	90	74	74
46600	79	99	180	180	160	77	91	47	87	91	74	74
46700	79	100	180	180	160	77	91	47	87	91	74	74
46800	79	100	180	180	160	77	91	47	88	92	74	74
46900	79	100	180	180	160	77	91	48	89	92	74	74
47000	79	100	180	180	160	78	92	49	89	93	74	74
47100	79	101	180	180	160	78	93	49	89	94	74	74
47200	79	101	180	180	160	79	93	50	90	94	74	74
47300	79	101	180	180	160	79	94	50	91	94	74	74
47400	79	101	180	180	160	79	94	50	91	95	74	74
47500	79	101	180	180	160	79	94	51	92	96	74	74
47600	78	101	180	180	160	80	95	51	92	96	74	74
47700	78	101	180	180	160	80	96	52	93	96	74	74
47800	78	101	180	180	160	80	96	52	94	97	74	74
47900	78	102	180	180	160	81	96	52	94	97	74	74
48000	77	102	180	180	160	81	97	53	94	98	74	74
48100	77	102	180	180	160	81	97	53	95	99	74	74
48200	77	102	180	180	160	81	98	54	96	99	74	74
48300	77	103	180	180	160	82	98	54	96	99	74	74
48400	77	103	180	180	160	82	99	55	96	100	74	74
48500	77	103	180	180	160	83	99	55	97	101	74	74
48600	77	103	180	180	160	83	99	55	98	101	74	74
48700	77	103	180	180	160	84	100	56	99	101	74	74
48800	77	103	180	180	160	84	101	56	99	102	74	74
48900	77	103	180	180	160	84	101	57	99	103	74	74
49000	76	103	180	180	160	84	101	57	100	103	74	74
49100	76	103	180	180	160	85	102	57	101	103	74	74
49200	76	104	180	180	160	85	102	58	101	104	74	74
49300	76	104	180	180	160	86	103	58	101	104	74	74
49400	76	104	180	180	160	86	103	59	102	105	74	74
49500	75	104	180	180	160	86	103	59	103	106	74	74
49600	75	105	180	180	160	86	104	60	103	106	74	74
49700	75	105	180	180	160	86	104	60	103	106	74	74
49800	75	105	180	180	160	87	105	60	104	107	74	74
49900	74	105	180	180	160	87	106	61	105	108	74	74
50000	74	106	180	180	160	88	106	61	105	108	74	74
50100	74	106	180	180	160	88	106	62	106	108	74	74
50200	74	106	180	180	160	89	107	62	106	109	74	74
50300	74	106	180	180	160	89	107	62	107	110	74	74
50400	74	106	180	180	160	89	108	63	107	110	74	74
50500	74	106	180	180	160	89	108	63	108	111	74	74
50600	74	106	180	180	160	90	108	64	108	111	74	74
50700	74	106	180	180	160	90	109	64	109	112	74	74
